분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO,BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
1007A40,여주2,2025-01-06,1회차,"127°34'28.4""","37°21'15.1""",:,,,,,,,,,,127.5745556,37.35419444
3012A05,연기,2025-01-06,1회차,"127°16'15.4""","36°28'40.7""",10:00,,5.7,12.8,1.7,5.9,4.7,4.906,0.044,4.1,127.2709444,36.47797222
3004A60,영동천1,2025-01-06,1회차,"127°46'28""","36°10'25.9""",16:16,,4.2,14.7,2.6,2.8,3.4,3.559,0.027,2.4,127.7744444,36.17386111
3004A70,영동천2,2025-01-06,1회차,"127°43'.84""","36°12'37.44""",16:26,,4.1,14.9,1.6,3.4,5.8,3.744,0.021,2.4,127.7169,36.2104
1003A05,영월2,2025-01-06,1회차,"128°29'44.9""","37°9'36.8""",15:17,,2.8,15.3,0.2,2,0.8,3.25,0.028,1.1,128.4958056,37.16022222
1003A17,영춘,2025-01-06,1회차,"128°29'7.1""","37°5'7.8""",:,,,,,,,,,,128.4853056,37.0855
1022A35,영평천3,2025-01-06,1회차,"127°8'18.42""","38°1'23.46""",:,,,,,,,,,,127.13845,38.02318333
1001A40,오대천3,2025-01-06,1회차,"128°38'58.6""","37°26'19.3""",:,,,,,,,,,,128.6496111,37.43869444
1101A37,오산천2,2025-01-06,1회차,"127°5'18.96""","37°12'59.4""",:,,,,,,,,,,127.0886,37.2165
1101A42,오산천4,2025-01-06,1회차,"127°4'35.04""","37°9'39.96""",:,,,,,,,,,,127.0764,37.1611
1101A47,오산천6,2025-01-06,1회차,"127°3'20.52""","37°7'57.72""",:,,,,,,,,,,127.0557,37.1327
1003A15,옥동천3,2025-01-06,1회차,"128°32'48.8""","37°7'8""",:,,,,,,,,,,128.5468889,37.11888889
1025A51,왕숙천6,2025-01-06,1회차,"127°9'47.88""","37°35'5.28""",:,,,,,,,,,,127.1633,37.5848
2011A30,왜관,2025-01-06,1회차,"128°23'37.32""","36°0'4.68""",12:00,,3.7,13.3,2.1,5,3.6,2.506,0.023,3.6,128.3937,36.0013
4005A10,요천2,2025-01-06,1회차,"127°18'6.48""","35°20'39.84""",14:25,,4.5,13.8,0.8,3.3,1.5,4.423,0.027,0.9,127.3018,35.3444
1302A50,용수천,2025-01-06,1회차,"129°1'8.55""","37°31'10.9""",14:55,,4.9,11.6,1.4,1.8,2,1.721,0.005,1.1,129.0190417,37.51969444
1005A55,운계천,2025-01-06,1회차,"127°47'49.56""","37°8'45.6""",:,,,,,,,,,,127.7971,37.146
