조사년도,조사회차,PTNM,학명,국명,개체밀도
2024,2,평창강3-2,Koreoleptoxis globus ovalis,띠구슬다슬기,12
2024,2,평창강3-2,Labiobaetis atrebatinus,입술하루살이,4
2024,2,평창강3-2,Lamelligomphus ringens,노란측범잠자리,8
2024,2,평창강3-2,Protohermes xanthodes,노란뱀잠자리,8
2024,2,평창강3-2,Rhoenanthus coreanus,강하루살이,4
2024,2,평창강3-2,Serratella setigera,범꼬리하루살이,4
2024,2,평창강3-2,Stenelmis sp.,긴다리여울벌레류,4
2024,2,평창강3-2,Teloganopsis punctisetae,등줄하루살이,26
2024,1,쌍용천2,Acentrella sibirica,콩알하루살이,4
2024,1,쌍용천2,Antocha KUa,명주각다귀 KUa,19
2024,1,쌍용천2,Asellus sp.,물벌레류(연갑강),23
2024,1,쌍용천2,Baetiella tuberculata,애호랑하루살이,34
2024,1,쌍용천2,Baetis ursinus,방울하루살이,56
2024,1,쌍용천2,Cheumatopsyche brevilineata,꼬마줄날도래,37
2024,1,쌍용천2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),37
2024,1,쌍용천2,Dugesia sp.,플라나리아류,100
2024,1,쌍용천2,Ecdyonurus kibunensis,두점하루살이,4
2024,1,쌍용천2,Ecdyonurus levis,네점하루살이,8
2024,1,쌍용천2,Epeorus pellucidus,부채하루살이,19
2024,1,쌍용천2,Hydropsyche kozhantschikovi,줄날도래,23
2024,1,쌍용천2,Optioservus sp.,작은무늬여울벌레류,23
2024,1,쌍용천2,Serratella setigera,범꼬리하루살이,12
2024,1,쌍용천2,Stenelmis nipponica,곰보긴다리여울벌레,49
2024,1,쌍용천2,Stenelmis sp.,긴다리여울벌레류,19
2024,1,쌍용천2,Teloganopsis punctisetae,등줄하루살이,293
