법정구역코드,시도,시군구,읍면동,리,FullAddress,하수처리시설명,하수처리_시설코드,분뇨처리시설명,분뇨처리_시설코드,지정내역,인구 총계(명),시가 인구(명)_하수처리지역(분류식),시가 인구(명)_하수처리지역(합류식),시가 인구(명)_하수미처리지역(오수),시가 인구(명)_하수미처리지역(정화조),시가 인구(명)_하수미처리지역(수거식),비시가 인구(명)_하수처리지역(분류식),비시가 인구(명)_하수처리지역(합류식),비시가 인구(명)_하수미처리지역(오수),비시가 인구(명)_하수미처리지역(정화조),비시가 인구(명)_하수미처리지역(수거식)
2771031021,대구광역시,달성군,가창면,용계리,대구광역시 달성군 가창면 용계리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,3044,1705,0,0,0,0,1339,0,0,0,0
2771031023,대구광역시,달성군,가창면,정대리,대구광역시 달성군 가창면 정대리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,279,16,0,22,3,0,92,0,126,20,0
2771031024,대구광역시,달성군,가창면,냉천리,대구광역시 달성군 가창면 냉천리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,421,42,0,59,8,0,121,0,168,23,0
2771031028,대구광역시,달성군,가창면,대일리,대구광역시 달성군 가창면 대일리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,438,77,0,130,38,0,60,0,103,30,0
2771031029,대구광역시,달성군,가창면,주리,대구광역시 달성군 가창면 주리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,316,18,0,35,17,0,62,0,122,62,0
2771031030,대구광역시,달성군,가창면,옥분리,대구광역시 달성군 가창면 옥분리,신천하수종말처리장,272300W01,서부분뇨처리장,272900F01,일반지역,255,14,0,73,43,0,13,0,70,42,0
2771031031,대구광역시,달성군,가창면,삼산리,대구광역시 달성군 가창면 삼산리,가창삼산마을하수도,277100V10,서부분뇨처리장,272900F01,일반지역,545,56,0,56,30,0,158,0,159,86,0
2771031032,대구광역시,달성군,가창면,우록리,대구광역시 달성군 가창면 우록리,가창삼산마을하수도,277100V10,서부분뇨처리장,272900F01,일반지역,527,29,0,23,17,0,196,0,152,110,0
2771033022,대구광역시,달성군,하빈면,묘리,대구광역시 달성군 하빈면 묘리,하빈묘리마을하수도,277100V07,서부분뇨처리장,272900F01,일반지역,332,0,0,0,0,0,242,0,30,60,0
2771033025,대구광역시,달성군,하빈면,무등리,대구광역시 달성군 하빈면 무등리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,234,110,0,0,0,0,124,0,0,0,0
2771033026,대구광역시,달성군,하빈면,현내리,대구광역시 달성군 하빈면 현내리,하빈현내공공하수도,277100V09,서부분뇨처리장,272900F01,일반지역,451,320,0,0,0,0,131,0,0,0,0
2771033029,대구광역시,달성군,하빈면,봉촌리,대구광역시 달성군 하빈면 봉촌리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,670,81,0,12,14,0,423,0,66,74,0
